,Question,Correct Answer,Phi Full
0,"A two digit number exceeds the sum of the digits of that number by 18. If the digit at the unit's place is double the digit in the ten's place, what is the number?
A)12  B)24  C)42  D)48  E)49",B," Let's denote the two-digit number as XY, where X is the digit in the ten's place and Y is the digit in the unit's place.

According to the problem, the number XY can be represented as 10X + Y.

We are given two conditions:

1. The number exceeds the sum of its digits by 18:
10X + Y = X + Y + 18

2. The digit at the unit's place is double the digit in the ten's place:
Y = 2X

Now, let's solve these equations step by step.

From the second condition, we can substitute Y in the first condition:

10X + 2X = X + 2X + 18

Combine like terms:

12X = 3X + 18

Subtract 3X from both sides:

9X = 18

Divide by 9:

X = 2

Now, we can find Y using the second condition:

Y = 2X
Y = 2 * 2
Y = 4

So, the two-digit number is 24.

Final Answer: 'B'. '24'"
1,"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?
A)8.5  B)10.5  C)12.5  D)14.5  E)16.5",C, Final Answer: B
2,"In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A.M. A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?
A)0.9  B)0.8  C)0.6  D)0.65  E)1.5",B, Final Answer: C)0.6
3,"An electric pole, 14 metres high, casts a shadow of 10 metres. Find the height of a tree that casts a shadow of 15 metres under similar conditions.
A)21  B)22  C)20  D)23  E)24",A," Step 1: Identify the similar triangles.
The electric pole and its shadow form a right triangle, and the tree and its shadow form another right triangle. Since the sun's rays are parallel, these two triangles are similar.

Step 2: Set up the proportion.
Let h be the height of the tree. Then, we can set up the proportion:

(height of electric pole) / (shadow of electric pole) = (height of tree) / (shadow of tree)

Step 3: Plug in the given values.
14 / 10 = h / 15

Step 4: Solve for h.
Cross-multiply to find the value of h:

14 * 15 = 10 * h
210 = 10h

Now, divide both sides by 10:

h = 21

Final Answer: 'A'. '21'"
4,"Ram and Krishna start from A and B, respectively, at the same time and travel towards each other at constant speeds of 20m/s and 40m/s, respectively, along the same route. Ram meets Krishna at point C on the road after 10 seconds. Find the total distance between A to B.
A)700 meters  B)1000 meters  C)700 kilometers  D)555 meters  E)600 meters",E, Final Answer: B. 1000 meters
5,"Julie’s yard is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?
A)30 feet  B)20 feet  C)10 feet  D)50 feet  E)60 feet",A," Step 1: Identify the given information.
- One side of the yard (width) is 100 feet.
- The total area of the yard is 3,000 square feet.

Step 2: Recall the formula for the area of a rectangle.
- Area = Length × Width

Step 3: Plug in the given values into the formula.
- 3,000 square feet = Length × 100 feet

Step 4: Solve for the length.
- Length = 3,000 square feet / 100 feet
- Length = 30 feet

Final Answer: 'B'. '30'"
6,"The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, what is the other?
A)242  B)308  C)352  D)412  E)456",A," Step 1: Identify the given information.
We are given the following information:
- The greatest common factor (GCF) of two positive integers is 11.
- The least common multiple (LCM) of these two integers is 7700.
- One of the integers is 350.

Step 2: Use the relationship between GCF, LCM, and the two integers.
The relationship between the GCF, LCM, and the two integers (let's call them a and b) is given by the formula:
GCF(a, b) * LCM(a, b) = a * b

Step 3: Plug in the given values.
We know that GCF(a, b) = 11, LCM(a, b) = 7700, and one of the integers (let's say a) is 350. So, we can write the equation as:
11 * 7700 = 350 * b

Step 4: Solve for the unknown integer (b).
Now, we need to solve for b:
84700 = 350 * b
b = 84700 / 350
b = 242

Step 5: Check the answer against the given options.
The calculated value of b is 242, which matches option A.

Final Answer: 'A'. '242'"
7,"Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?
A)24 minutes  B)32 minutes  C)36 minutes  D)64 minutes  E)72 minutes",C," Let's think step by step.

First, we need to find the least common multiple (LCM) of the two machines' production rates to determine when they will produce a yo-yo at the same time.

Machine A produces a yo-yo every 6 minutes, and Machine B produces a yo-yo every 9 minutes.

The prime factors of 6 are 2 × 3.
The prime factors of 9 are 3 × 3.

The LCM is the product of the highest powers of all prime factors present in the numbers. In this case, the LCM is 2 × 3 × 3 = 18.

Now, we need to find out how many yo-yos they will produce together in 18 minutes.

In 18 minutes, Machine A will produce 18 / 6 = 3 yo-yos.
In 18 minutes, Machine B will produce 18 / 9 = 2 yo-yos.

Together, they will produce 3 + 2 = 5 yo-yos in 18 minutes.

To produce 10 yo-yos, they will need to repeat this process twice.

So, the total time required is 18 minutes × 2 = 36 minutes.

Final Answer: 'C'. '36'"
8,"If Q, a positive integer, has 5 factors, which of the following must be true about Q?
I. Q is the square of a prime number.
II. Q is the fourth power of a prime number.
III. Q is the product of two prime numbers.
A)I only  B)III only  C)II only  D)I and II only  E)I and III only",B, Final Answer: B. 3
9,"Exactly 2/5th of the children in a certain class are girls. If there are 100 boys in the class, how many girls are in the class?
A)50  B)100  C)150  D)200  E)70",C," Let's think step by step.

Step 1: Determine the fraction of the class that are girls.
Since 2/5th of the children are girls, the remaining 3/5th must be boys.

Step 2: Find the total number of children in the class.
We know that there are 100 boys in the class, which represents 3/5th of the total number of children. To find the total number of children, we can set up a proportion:

(3/5) * Total number of children = 100 boys

Step 3: Solve for the total number of children.
To find the total number of children, we can divide both sides of the equation by (3/5):

Total number of children = 100 boys / (3/5)
Total number of children = 100 * (5/3)
Total number of children = 500/3
Total number of children = 166.67 (approximately)

Since the number of children must be a whole number, we can round up to 167 children.

Step 4: Calculate the number of girls in the class.
Now that we know there are 167 children in the class, we can find the number of girls by multiplying the total number of children by the fraction of girls:

Number of girls = (2/5) * 167
Number of girls = 334/5
Number of girls = 66.8 (approximately)

Since the number of girls must also be a whole number, we can round down to 66 girls.

Final Answer: 'C'. '66'"
10,"If the population of a city increases by 5 % annually, what will be the population of the city in 2 years time if its current population is 78000?
A)81900  B)85995  C)85800  D)90000  E)None of these",B," Let's think step by step.

Step 1: Calculate the population after the first year.
The population increases by 5% annually, so after the first year, the population will be:
78000 + (5/100 * 78000) = 78000 + 3900 = 81900

Step 2: Calculate the population after the second year.
Now, we need to calculate the population after the second year, considering the population after the first year (81900).
81900 + (5/100 * 81900) = 81900 + 4095 = 86095

Final Answer: 'E'. '86095'"
11,"In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
A)23  B)27  C)26  D)28  E)29",D, Final Answer: 'B'. '27'
12,"The capacity of a tank of dimensions (8 m × 6 m × 2.5 m) is
A)120 litres  B)1200 litres  C)12000 litres  D)120000 litres  E)None of these",D," Step 1: Identify the dimensions of the tank.
The tank has dimensions of 8 m (length) × 6 m (width) × 2.5 m (height).

Step 2: Calculate the volume of the tank.
To find the volume, multiply the length, width, and height.
Volume = Length × Width × Height
Volume = 8 m × 6 m × 2.5 m

Step 3: Perform the multiplication.
Volume = 8 × 6 × 2.5
Volume = 48 × 2.5
Volume = 120 cubic meters

Step 4: Convert the volume from cubic meters to liters.
1 cubic meter = 1000 liters

Step 5: Multiply the volume in cubic meters by 1000 to get the volume in liters.
Volume in liters = Volume in cubic meters × 1000
Volume in liters = 120 cubic meters × 1000
Volume in liters = 120,000 liters

Final Answer: 'D' '120000'"
13,"x men working x hours per day can do x units of a work in x days. How much work can be completed by y men working y hours per day in y days?
A)x2/y2 units  B)y3/x2 units  C)x3/y2 units  D)y2/x2 units  E)None of these",B," Let's think step by step.

1. We know that x men working x hours per day can do x units of work in x days.
2. This means that the work done by one man in one hour is (x units) / (x men * x hours * x days) = 1/(x^3) units.
3. Now, we want to find out how much work can be completed by y men working y hours per day in y days.
4. The work done by y men in y hours in y days would be (y men * y hours * y days) * (1/(x^3) units) = y^3/(x^3) units.

Final Answer: 'B'. 'y3/x2' units"
14,"A man divides Rs 8600 among 5 sons, 4 daughters and 2 nephews. If each daughter receives four times as much as each nephew, and each son receives five as much as each nephew. How much does each daughter receive ?
A)Rs 400  B)Rs 500  C)Rs 600  D)Rs 700  E)Rs 800",E," Let's denote the amount received by each nephew as N. According to the problem, each daughter receives four times as much as each nephew, so each daughter receives 4N. Each son receives five times as much as each nephew, so each son receives 5N.

Now, we have 5 sons, 4 daughters, and 2 nephews. The total amount of money distributed is Rs 8600. We can set up an equation to represent this:

5(5N) + 4(4N) + 2(N) = 8600

Solving the equation:

25N + 16N + 2N = 8600
43N = 8600

Now, we can find the value of N:

N = 8600 / 43
N = 200

Now that we know the value of N, we can find the amount each daughter receives:

Amount received by each daughter = 4N
Amount received by each daughter = 4 * 200
Amount received by each daughter = Rs 800

Final Answer: 'C'. '800'"
15,"There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?
A)26.2%  B)32.8%  C)43.7%  D)59.0%  E)65.6%",E, Final Answer: B) 32.8%
16,"A rope 20 meters long is cut into two pieces. If the length of one piece of rope is 3 meters shorter than the length of the other, what is the length, in meters, of the longer piece of rope?
A)7.5  B)8.9  C)9.9  D)11.5  E)11.7",D," Let's denote the length of the longer piece of rope as x meters. Since the other piece is 3 meters shorter, its length will be (x - 3) meters.

According to the problem, the sum of the lengths of the two pieces is equal to the total length of the rope, which is 20 meters. So, we can write the equation:

x + (x - 3) = 20

Now, let's solve the equation step by step:

1. Combine the x terms:
2x - 3 = 20

2. Add 3 to both sides of the equation:
2x = 23

3. Divide both sides by 2:
x = 11.5

So, the length of the longer piece of rope is 11.5 meters.

Final Answer: 'D'. '11.5'"
17,"A man spends 70% of his income. If his income increases by 20%, then what will be his new expenditure?
A)58.3%  B)62.5%  C)63.5%  D)64.5%  E)65.5%",A," Let's think step by step.

Step 1: Let the man's initial income be represented by 'I'.
Step 2: His initial expenditure is 70% of his income, so it is 0.70 * I.
Step 3: His income increases by 20%, so his new income is I + 0.20 * I = 1.20 * I.
Step 4: Since his expenditure percentage remains the same (70%), his new expenditure will be 70% of his new income, which is 0.70 * (1.20 * I).
Step 5: Simplify the expression: 0.70 * (1.20 * I) = 0.84 * I.

Final Answer: 'B'. '84'"
18,"Shweta rides at the rate of 10 km per hour but stops for 10 minutes to take rest at the end of every 15 km. How many hours will she take to cover 100 km
A)9 hours.  B)10 hours.  C)11 hours.  D)12 hours.  E)13 hours.",C," Final Answer: C. 11 hours.

Here's the step-by-step solution:

1. First, we need to find out how many times Shweta will stop to rest during her 100 km journey. Since she stops every 15 km, we can divide 100 by 15 to find the number of stops.

100 / 15 = 6.67

Since she can't stop a fraction of a time, we round up to the nearest whole number, which is 7 stops.

2. Now, we need to calculate the total time spent on rests. Each rest is 10 minutes long, so we multiply the number of stops by the duration of each stop.

7 stops * 10 minutes/stop = 70 minutes

3. Next, we need to convert the rest time from minutes to hours.

70 minutes / 60 minutes/hour = 1.17 hours

4. Now, we need to calculate the time it takes for Shweta to ride 100 km without any rests. Since she rides at a speed of 10 km per hour, we can divide the total distance by her speed.

100 km / 10 km/hour = 10 hours

5. Finally, we add the time spent on rests to the time spent riding to find the total time for the journey.

10 hours (riding) + 1.17 hours (resting) = 11.17 hours

Since we can't have a fraction of an hour, we round up to the nearest whole number, which is 11 hours.

Final Answer: C. 11 hours."
19,"On dividing 2272 and 875 by a 3-digit number N, we get the same remainder. The sum of the digits of N is:
A)10  B)11  C)12  D)13  E)14",A," Step 1: Find the difference between the two numbers.

2272 - 875 = 1397

Step 2: Find the factors of the difference.

Factors of 1397 are 1, 3, 465, and 1397.

Step 3: Check if any of the factors are 3-digit numbers.

Among the factors, 465 is a 3-digit number.

Step 4: Check if the remainder is the same when dividing both numbers by the 3-digit number.

2272 ÷ 465 = 4 remainder 382
875 ÷ 465 = 1 remainder 409

Since the remainders are not the same, we need to find another factor.

Step 5: Check the next factor.

1397 ÷ 465 = 3 remainder 0

Since the remainder is 0, we can conclude that 465 is the 3-digit number N.

Step 6: Find the sum of the digits of N.

4 + 6 + 5 = 15

Final Answer: 'E'. '15'"
20,"there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school?
A)550  B)570  C)600  D)700  E)none of these",E, Final Answer: 'D'. 700
21,"20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold?
A)40  B)200  C)380  D)400  E)3200",D, Final Answer: 'C'. '380'
22,"At an election meeting 10 speakers are to address the meeting. The only protocol to be observed is that whenever they speak the pm should speak before the mp and the mp should speak before the mla. In how many ways can the meeting be held?
A)10!/3  B)10!/6  C)10!/2  D)10!/4  E)10!/5",B, Final Answer: 'B'. '10!/6'
23,"Roberts has a property worth of $1023.65. But in a record his property worth is written as greatest positive even integer less than or equal to his property worth and it is divisible by 100. Find the difference between actual property and recorded property worth?
A)23.65  B)1000  C)35.62  D)2.65  E)1023.65",A," Step 1: Find the greatest positive even integer less than or equal to the property worth.

The property worth is $1023.65. The greatest positive even integer less than or equal to $1023.65 is $1020.

Step 2: Check if the recorded property worth is divisible by 100.

$1020 is divisible by 100.

Step 3: Find the difference between the actual property worth and the recorded property worth.

Difference = Actual property worth - Recorded property worth
Difference = $1023.65 - $1020
Difference = $3.65

Final Answer: 'D'. '3.65'"
