,Question,Correct Answer,Ministral 8B
0,"A two digit number exceeds the sum of the digits of that number by 18. If the digit at the unit's place is double the digit in the ten's place, what is the number?
A)12  B)24  C)42  D)48  E)49",B,"Let's denote the digit in the ten's place as \( x \) and the digit in the unit's place as \( y \). The two-digit number can then be represented as \( 10x + y \).

According to the problem, the two-digit number exceeds the sum of its digits by 18. This can be written as:
\[ 10x + y = x + y + 18 \]

Simplifying this equation, we get:
\[ 10x + y - x - y = 18 \]
\[ 9x = 18 \]
\[ x = 2 \]

The digit in the unit's place is double the digit in the ten's place, so:
\[ y = 2x \]
\[ y = 2 \times 2 \]
\[ y = 4 \]

Therefore, the two-digit number is:
\[ 10x + y = 10 \times 2 + 4 = 20 + 4 = 24 \]

Final Answer: B. 24"
1,"One gram of a certain health food contains 9 percent of the minimum daily requirement of vitamin E and 8 percent of the minimum daily requirement of vitamin A. If vitamins E and A are to be obtained from no other source, how many grams of the health food must be eaten daily to provide at least the minimum daily requirement of both vitamins?
A)8.5  B)10.5  C)12.5  D)14.5  E)16.5",C,"To solve this problem, we need to determine the minimum daily requirement for both vitamins E and A and then calculate how much of the health food is needed to meet these requirements.

1. **Determine the minimum daily requirement for vitamin E:**
   - Let's denote the minimum daily requirement for vitamin E as \( R_E \).
   - According to the problem, 1 gram of the health food contains 9% of \( R_E \).
   - Therefore, \( 0.09 \times R_E = 1 \) gram of vitamin E.
   - Solving for \( R_E \), we get:
     \[
     R_E = \frac{1}{0.09} = \frac{100}{9} \approx 11.11 \text{ grams}
     \]

2. **Determine the minimum daily requirement for vitamin A:**
   - Let's denote the minimum daily requirement for vitamin A as \( R_A \).
   - According to the problem, 1 gram of the health food contains 8% of \( R_A \).
   - Therefore, \( 0.08 \times R_A = 1 \) gram of vitamin A.
   - Solving for \( R_A \), we get:
     \[
     R_A = \frac{1}{0.08} = \frac{100}{8} = 12.5 \text{ grams}
     \]

3. **Calculate the total amount of health food needed to meet both requirements:**
   - To meet the minimum daily requirement for both vitamins, we need to consume enough health food to provide at least 11.11 grams of vitamin E and 12.5 grams of vitamin A.
   - Since the health food provides both vitamins, we need to find the amount that provides the higher requirement, which is 12.5 grams of vitamin A.
   - Therefore, we need to consume 12.5 grams of the health food to meet the minimum daily requirement for both vitamins.

Final Answer: B) 10.5"
2,"In a railway station, there are two trains going. One in the harbor line and one in the main line, each having a frequency of 10 minutes. The main line service starts at 5 o'clock and the harbor line starts at 5.02 A.M. A man goes to the station every day to catch the first train that comes. What is the probability of the man catching the first train?
A)0.9  B)0.8  C)0.6  D)0.65  E)1.5",B,"To solve this problem, we need to determine the probability that the man catches the first train that arrives at the station.

1. **Understand the Timing of the Trains:**
   - The main line service starts at 5:00 AM.
   - The harbor line service starts at 5:02 AM.
   - Both lines have a frequency of 10 minutes.

2. **Determine the Time Intervals:**
   - The main line train arrives every 10 minutes starting at 5:00 AM.
   - The harbor line train arrives every 10 minutes starting at 5:02 AM.

3. **Calculate the Probability:**
   - The man arrives at the station and waits for the first train.
   - The first train to arrive after 5:00 AM is the main line train at 5:00 AM.
   - The first train to arrive after 5:02 AM is the harbor line train at 5:02 AM.

4. **Determine the Probability of Catching the First Train:**
   - The man has a 10-minute window to catch the main line train (from 5:00 AM to 5:10 AM).
   - The man has a 10-minute window to catch the harbor line train (from 5:02 AM to 5:12 AM).

5. **Calculate the Total Time Window:**
   - The total time window for the man to catch either train is from 5:00 AM to 5:12 AM, which is 12 minutes.

6. **Calculate the Probability:**
   - The probability of catching the main line train is the time window for the main line train divided by the total time window.
   - The probability of catching the harbor line train is the time window for the harbor line train divided by the total time window.

   \[
   \text{Probability of catching the main line train} = \frac{10 \text{ minutes}}{12 \text{ minutes}} = \frac{5}{6}
   \]

   \[
   \text{Probability of catching the harbor line train} = \frac{10 \text{ minutes}}{12 \text{ minutes}} = \frac{5}{6}
   \]

   Since the man will catch the first train that arrives, the probability of catching the first train is the sum of the probabilities of catching either train:

   \[
   \text{Total Probability} = \frac{5}{6} + \frac{5}{6} = \frac{10}{6} = \frac{5}{3} = 1.67
   \]

   However, this calculation seems incorrect as the probability cannot exceed 1. Let's re-evaluate the calculation:

   The correct approach is to consider the overlapping time windows. The man has a 10-minute window to catch the main line train and a 10-minute window to catch the harbor line train, but these windows overlap for 2 minutes (from 5:02 AM to 5:04 AM).

   \[
   \text{Total Probability} = \frac{10 \text{ minutes} + 10 \text{ minutes} - 2 \text{ minutes}}{12 \text{ minutes}} = \frac{18}{12} = \frac{3}{2} = 1.5
   \]

   This calculation is still incorrect. The correct approach is to consider the probability of catching either train within the first 10 minutes after the man arrives:

   \[
   \text{Probability of catching the first train} = \frac{10 \text{ minutes}}{12 \text{ minutes}} = \frac{5}{6}
   \]

   Therefore, the correct probability is:

   \[
   \text{Probability of catching the first train} = \frac{5}{6} \approx 0.8333
   \]

   The closest option to this value is:

   Final Answer: B. 0.8"
3,"An electric pole, 14 metres high, casts a shadow of 10 metres. Find the height of a tree that casts a shadow of 15 metres under similar conditions.
A)21  B)22  C)20  D)23  E)24",A,"To solve this problem, we can use the concept of similar triangles. The electric pole and its shadow form a right-angled triangle, and the tree and its shadow will also form a similar right-angled triangle under the same conditions.

Let's denote:
- \( h \) as the height of the tree,
- \( s \) as the length of the shadow of the tree.

Given:
- The height of the electric pole \( H = 14 \) metres,
- The length of the shadow of the electric pole \( S = 10 \) metres,
- The length of the shadow of the tree \( s = 15 \) metres.

We need to find the height of the tree \( h \).

Since the triangles are similar, the ratios of corresponding sides are equal. Therefore, we have:

\[
\frac{H}{S} = \frac{h}{s}
\]

Substituting the given values:

\[
\frac{14}{10} = \frac{h}{15}
\]

Solving for \( h \):

\[
\frac{14}{10} = \frac{h}{15} \implies 14 \times 15 = 10 \times h \implies 210 = 10h \implies h = \frac{210}{10} \implies h = 21
\]

Therefore, the height of the tree is 21 metres.

Final Answer: A. 21"
4,"Ram and Krishna start from A and B, respectively, at the same time and travel towards each other at constant speeds of 20m/s and 40m/s, respectively, along the same route. Ram meets Krishna at point C on the road after 10 seconds. Find the total distance between A to B.
A)700 meters  B)1000 meters  C)700 kilometers  D)555 meters  E)600 meters",E,"To solve this problem, we need to calculate the distance each person travels before they meet and then sum these distances to find the total distance between A and B.

1. **Calculate the distance Ram travels:**
   Ram's speed = 20 m/s
   Time = 10 seconds
   Distance = Speed × Time
   Distance_Ram = 20 m/s × 10 s = 200 meters

2. **Calculate the distance Krishna travels:**
   Krishna's speed = 40 m/s
   Time = 10 seconds
   Distance = Speed × Time
   Distance_Krishna = 40 m/s × 10 s = 400 meters

3. **Calculate the total distance between A and B:**
   Total distance = Distance_Ram + Distance_Krishna
   Total distance = 200 meters + 400 meters = 600 meters

Final Answer: E. 600 meters"
5,"Julie’s yard is rectangular. One side of the yard is 100 feet wide. The total area of the yard is 3,000 square feet. What is the length of the other side of the yard?
A)30 feet  B)20 feet  C)10 feet  D)50 feet  E)60 feet",A,"To find the length of the other side of Julie's yard, we can use the formula for the area of a rectangle, which is:

Area = Length × Width

We know the area of the yard is 3,000 square feet and the width is 100 feet. We can rearrange the formula to solve for the length:

Length = Area ÷ Width

Plugging in the known values:

Length = 3,000 sq ft ÷ 100 ft

Length = 30 ft

So, the length of the other side of the yard is 30 feet.

Final Answer: A. 30"
6,"The greatest common factor of two positive integers is 11. The least common multiple of these two integers is 7700. If one of the integers is 350, what is the other?
A)242  B)308  C)352  D)412  E)456",A,"To solve this problem, we need to use the relationship between the greatest common factor (GCF) and the least common multiple (LCM) of two numbers. The product of the GCF and LCM of two numbers is equal to the product of the two numbers themselves.

Let's denote the two numbers as \( a \) and \( b \). We are given:
- The GCF of \( a \) and \( b \) is 11.
- The LCM of \( a \) and \( b \) is 7700.
- One of the numbers, \( a \), is 350.

We can set up the equation:
\[ \text{GCF}(a, b) \times \text{LCM}(a, b) = a \times b \]

Substituting the given values:
\[ 11 \times 7700 = 350 \times b \]

Now, solve for \( b \):
\[ 84700 = 350 \times b \]
\[ b = \frac{84700}{350} \]
\[ b = 242 \]

So, the other number is 242.

Final Answer: B. 242"
7,"Machine A puts out a yo-yo every 6 minutes. Machine B puts out a yo-yo every 9 minutes. After how many minutes will they have produced 10 yo-yos?
A)24 minutes  B)32 minutes  C)36 minutes  D)64 minutes  E)72 minutes",C,"To solve this problem, we need to determine the combined rate at which Machines A and B produce yo-yos and then find out how long it will take for them to produce 10 yo-yos together.

1. **Determine the individual rates:**
   - Machine A produces a yo-yo every 6 minutes.
   - Machine B produces a yo-yo every 9 minutes.

2. **Calculate the combined rate:**
   - The combined rate is the sum of the individual rates.
   - Machine A's rate: \( \frac{1}{6} \) yo-yo per minute.
   - Machine B's rate: \( \frac{1}{9} \) yo-yo per minute.
   - Combined rate: \( \frac{1}{6} + \frac{1}{9} \).

3. **Find a common denominator to add the fractions:**
   - The least common multiple (LCM) of 6 and 9 is 18.
   - Convert the fractions to have the common denominator of 18:
     \[
     \frac{1}{6} = \frac{3}{18}, \quad \frac{1}{9} = \frac{2}{18}
     \]
   - Add the fractions:
     \[
     \frac{3}{18} + \frac{2}{18} = \frac{5}{18}
     \]

4. **Determine the time to produce 10 yo-yos:**
   - The combined rate is \( \frac{5}{18} \) yo-yos per minute.
   - To find the time to produce 10 yo-yos, we set up the equation:
     \[
     \frac{5}{18} \times t = 10
     \]
   - Solve for \( t \):
     \[
     t = 10 \times \frac{18}{5} = 10 \times 3.6 = 36 \text{ minutes}
     \]

Final Answer: C. 36 minutes"
8,"If Q, a positive integer, has 5 factors, which of the following must be true about Q?
I. Q is the square of a prime number.
II. Q is the fourth power of a prime number.
III. Q is the product of two prime numbers.
A)I only  B)III only  C)II only  D)I and II only  E)I and III only",B,"To solve this problem, we need to understand the properties of numbers with a specific number of factors.

1. **Understanding Factors**: The number of factors of a number \( Q \) can be determined by its prime factorization. If \( Q = p_1^{e_1} \cdot p_2^{e_2} \cdot \ldots \cdot p_k^{e_k} \), where \( p_1, p_2, \ldots, p_k \) are distinct prime numbers and \( e_1, e_2, \ldots, e_k \) are their respective exponents, then the total number of factors of \( Q \) is given by \( (e_1 + 1)(e_2 + 1) \ldots (e_k + 1) \).

2. **Given**: \( Q \) has 5 factors.

3. **Possible Factorizations**:
   - \( Q = p^4 \) (where \( p \) is a prime number): This gives \( 4 + 1 = 5 \) factors.
   - \( Q = p^2 \cdot q \) (where \( p \) and \( q \) are distinct prime numbers): This gives \( (2 + 1)(1 + 1) = 3 \cdot 2 = 6 \) factors, which is not 5.
   - \( Q = p \cdot q \cdot r \) (where \( p, q, r \) are distinct prime numbers): This gives \( (1 + 1)(1 + 1)(1 + 1) = 2 \cdot 2 \cdot 2 = 8 \) factors, which is not 5.

4. **Conclusion**:
   - The only factorization that gives exactly 5 factors is \( Q = p^4 \), where \( p \) is a prime number. This corresponds to option II.

Final Answer: C. II only"
9,"Exactly 2/5th of the children in a certain class are girls. If there are 100 boys in the class, how many girls are in the class?
A)50  B)100  C)150  D)200  E)70",C,Final Answer: A. 50
